BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	3.1007	0.0489	0.0478	0.3331	0.0595	0.1887	0.0478	0.6861	0.2803	3.0867	17.7278	0.8352	0.0478	0.1358	0.0478	4.1897	8.1205	0.0655	0.9306	3.5701	0.0478	24.3634	0.0790	0.9951	1.6822	2.2490	34.5541	0.1586	0.0478	1.0122	0.1642	0.0478	0.0478	0.0478	0.8051	9.1763	1.0000	0.1149	1.0515	0.0725	0.0478	23.2266	19.1629	6.3434	0.0478	0.0478	0.0478	0.0478	0.0870	0.0478	0.3336	21.3394	0.1183	0.5020	0.0719	0.0478	20.0614	0.0478	0.1117	7.5267	0.1472	0.0478	0.7044	1.4070	0.9076	7.9223	1.7671	0.0478	0.0478	0.0478	0.0478	0.0478	1.5933	2.0639	1.5173	0.0478	0.0480	0.0478	9.4552	0.0478	3.3271	0.0478	4.3841	0.7934	2.9549
1-methylurate	Xenobiotics	Xanthine Metabolism	1.0232	0.2424	0.2424	1.0294	0.2424	0.2424	9.6631	0.2424	0.2424	0.3582	4.4409	1.5022	0.2424	0.2424	0.2424	0.2607	4.6025	0.2424	0.2424	1.0230	0.2424	1.2524	0.2424	0.2424	0.2424	0.3629	2.8259	0.2424	0.2424	0.2424	0.3350	0.2424	0.2424	0.2424	0.4430	0.8041	0.7092	0.6168	1.9137	0.2424	0.2424	0.8060	2.3362	2.8948	6.6074	0.8514	0.2424	0.2424	0.2424	0.4516	0.2424	0.5967	1.3776	2.6383	0.9770	0.2424	0.4288	0.2424	0.2424	0.2424	0.2424	0.2424	0.2424	1.1065	0.4497	0.2424	0.2424	2.0723	0.2424	0.2424	0.2424	0.9365	0.2424	0.2424	0.2424	0.2424	0.2424	0.2424	1.9156	0.2424	0.8367	0.2424	0.2424	0.2424	0.2424
1-methylxanthine	Xenobiotics	Xanthine Metabolism	1.1433	1.0644	0.0989	1.7113	0.6317	0.3911	7.2585	1.3344	0.5603	0.9097	0.8881	0.0989	0.0989	1.7459	0.6216	0.7417	18.0281	0.5693	0.0989	1.5517	0.0989	1.7666	0.0989	1.0613	1.5409	0.3462	2.7852	0.8331	0.0989	1.1057	2.5054	0.0989	0.0989	0.7769	0.8927	0.7958	2.6754	0.7460	5.6482	0.0989	0.0989	1.2778	3.3388	5.9489	7.9402	1.7421	0.0989	0.5894	0.0989	0.9909	0.0989	0.0989	0.0989	3.4494	1.1818	0.0989	0.3682	1.1495	0.0989	0.7685	0.9603	0.0989	0.2849	0.7146	10.9130	0.2011	0.0989	0.8938	0.0989	0.0989	0.0989	0.0989	0.6046	0.3865	0.4303	0.0989	0.0989	0.5115	1.7237	0.0989	1.6311	0.0989	0.6343	1.1243	1.0091
1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	0.0836	0.0836	0.2431	1.2116	7.2751	0.0836	3.6057	4.4994	1.1877	0.0836	1.2399	7.1814	0.0836	5.0058	2.9367	0.0836	0.5454	0.0836	0.0836	1.4427	0.0836	0.0836	0.3437	0.9083	1.6720	0.0836	0.5982	0.7822	0.1830	0.6983	2.7527	0.0836	0.5790	0.0836	0.3458	0.0836	6.4313	0.0836	0.0836	0.0836	0.0836	1.4841	0.2358	0.6558	0.0836	0.2480	0.0836	2.6480	0.0836	0.0836	0.2268	0.0836	1.7685	0.3961	7.1367	0.0836	0.0836	2.3344	0.0961	1.1266	1.0917	0.0836	0.1792	8.2131	0.7315	0.0836	0.0836	0.0836	0.0836	0.0836	0.1650	0.0836	0.0836	29.2323	0.0836	0.0836	0.0836	0.0836	0.2470	0.0836	0.1361	0.0836	0.0836	0.0836	0.0836
1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	0.0650	0.0650	0.2245	0.0650	6.2901	0.6353	12.6977	1.4126	2.6017	0.0650	1.7067	26.3552	0.0650	6.6905	2.6111	0.3366	2.0971	0.0650	0.9868	1.3835	0.2949	0.0650	0.1241	1.7287	2.5295	0.0650	1.7625	0.0650	0.6630	1.2165	2.5518	1.0000	0.0717	0.0650	1.2769	0.0807	3.8502	1.7759	1.4797	0.0650	0.5746	0.7549	0.5167	1.4967	2.1765	0.0650	0.1500	3.4679	0.3917	0.8586	0.2533	0.0650	3.1766	0.5358	4.2129	0.0650	0.0650	1.8972	0.0650	2.6187	0.0737	0.0650	0.1006	6.2505	4.5399	0.1087	0.0650	0.7704	0.0650	0.0881	0.1338	0.2062	0.0650	8.6060	0.0650	0.2712	0.1039	0.0650	0.1799	0.0650	0.3168	0.0650	0.0650	0.0650	0.0650
1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	0.0829	0.0829	0.0829	0.0829	0.2231	0.0829	2.0327	0.0829	0.5749	0.0829	0.5230	18.9210	0.0829	0.0829	1.4490	0.2327	3.6119	0.3039	0.0829	3.2518	0.0829	0.0829	0.0829	0.9711	0.1540	0.0829	0.3935	0.0829	0.0829	0.0829	0.2322	11.1800	0.0829	0.0829	1.0289	0.0829	0.0829	0.2477	2.9828	0.3966	0.0829	0.0829	0.0829	0.1227	0.0829	0.0829	0.0829	2.5743	0.0829	0.0829	2.0636	0.0829	1.5389	0.0829	0.3514	0.0829	0.0829	0.0829	0.0829	2.0546	0.0829	0.0829	0.0829	1.5332	3.6659	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.0829	0.8773	0.0829	0.0829	1.1500	0.0829
1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	3.1279	1.4066	0.0671	0.0965	29.1103	0.4908	4.9962	0.1316	3.2389	0.2642	4.6622	5.7448	0.0671	0.9370	1.2225	2.2031	7.4868	0.8410	0.7188	17.3323	0.0671	0.0671	0.0671	1.6221	3.6421	0.0671	3.7330	0.2433	0.9124	0.3555	2.6159	23.0182	0.1554	0.2343	1.0140	0.2976	3.6847	8.0212	5.2869	0.7163	0.0671	0.2466	0.9860	2.1472	1.9135	0.0671	0.1473	17.7394	1.8138	0.2802	12.8448	0.2564	11.1053	1.4765	4.9185	0.1089	0.9697	0.4323	0.0671	5.8872	0.1754	0.0671	0.0671	17.2183	5.0046	0.0671	0.2652	2.7584	0.0671	0.0671	0.0882	0.4834	0.5362	0.7051	0.6055	0.4797	0.0671	0.0671	0.6212	0.2136	1.3868	0.0671	0.0671	7.3920	0.1256
1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	2.3377	1.1196	0.0800	0.0800	19.6504	0.2959	6.7162	0.0800	3.3107	0.1334	4.8596	21.4726	0.0800	1.1116	1.5345	0.6779	1.1698	0.2122	0.2384	3.5202	0.0800	0.0800	0.0800	0.2681	3.5777	0.0800	1.4641	0.1653	0.8007	0.0800	0.3919	1.0000	0.0800	0.1034	0.2120	0.0800	1.6554	3.0890	2.4343	0.2119	0.0800	0.0800	0.2564	1.4915	1.1709	0.0800	0.0800	2.8387	1.5506	0.0800	0.0800	0.0800	11.9265	1.5539	4.7908	0.0800	0.0886	0.1823	0.0800	1.1689	0.1680	0.0800	0.0800	30.8978	3.8572	0.0800	0.0800	0.8658	0.0800	0.0800	0.1891	0.2457	0.0800	0.5590	0.3769	0.3573	0.0800	0.0800	0.9389	0.2845	0.3695	0.0800	0.0800	2.1188	0.1752
1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	0.3361	0.3361	0.3361	0.3361	1.1022	0.3361	3.4632	0.3361	0.3572	0.3361	0.5735	77.5433	0.3361	0.3361	1.2514	0.6491	0.3361	0.3361	0.3361	3.2807	0.3361	0.3361	0.3361	0.7447	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3536	4.2782	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	3.0858	0.4696	0.3361	0.3361	0.3361	1.0216	0.4102	0.3361	0.3361	1.1423	0.3361	0.3361	0.7346	0.3361	2.1158	0.3361	0.5082	0.3361	0.3361	0.3361	0.3361	0.9784	0.3361	0.3361	0.3361	1.3094	3.2608	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3361	0.3818	0.3361	0.5755	0.3361	0.3361	1.7135	0.3361
1-oleoyl-GPS (18:1)	Lipid	Lysophospholipid	0.8742	0.2918	0.1101	0.1101	5.7980	0.1101	0.7725	0.1101	1.6566	0.1101	2.8413	0.1101	0.1101	0.1101	0.8754	6.0519	0.1101	2.4088	0.1101	46.9459	0.1101	0.1101	0.1101	0.4242	0.7786	0.1101	1.0542	0.1101	0.1101	0.1101	0.9458	2.5857	0.1101	0.2813	0.4177	0.2848	0.1101	1.2580	0.6637	0.3484	0.1101	0.1101	0.1101	0.8218	0.3816	0.1101	0.1101	3.1933	0.1101	0.1101	2.0827	0.1101	0.8615	0.1101	2.3422	0.1101	0.1101	0.1101	0.1101	6.6260	0.1101	0.1101	0.1101	11.4620	1.0582	0.1101	0.1101	0.2035	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	0.1101	1.3777	0.1101	0.1101	3.5522	0.1101
1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	0.1298	0.1298	0.1298	0.1864	3.1637	0.1298	0.1298	1.1877	2.3865	0.1298	0.8560	10.3150	0.1298	5.9892	1.7745	0.1298	0.9096	0.1298	0.4272	0.1298	0.1298	0.1298	0.1298	0.6404	1.0857	0.1298	0.7501	0.1298	0.1298	0.1298	1.0064	0.1298	0.1298	0.1298	0.9143	0.1298	1.7214	0.6186	0.3261	0.1298	0.1298	0.6870	0.1298	0.9936	0.1298	0.1460	0.1298	2.2641	0.1298	0.1298	0.1298	0.1298	1.5639	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	1.5615	0.1298	0.1298	0.1298	6.1533	0.4156	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	4.2586	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298	0.1298
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	0.1823	0.0903	0.5541	0.7434	0.0903	0.0903	0.0903	0.8817	11.7672	4.4631	0.0903	10.3518	0.0903	0.0903	0.0903	1.0000	0.2621	0.0903	1.5264	0.0903	0.0903	0.0903	0.0903	26.1771	0.0903	0.0903	0.7851	0.0903	0.0903	0.2001	0.0903	1.8943	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	13.8179	0.0903	0.0903	49.6567	0.6404	1.8398	0.0903	0.0903	0.0903	0.4245	0.0903	0.0903	4.1168	0.0903	0.0903	0.0903	0.0903	0.3299	0.0903	8.6501	0.0903	0.0903	0.8973	0.0903	0.0903	0.2074	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	0.0903	1.0128	0.0903	0.0903	6.5873	0.0903
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1830	1.1749	0.1155	0.1155	0.1155	0.7548	5.3564	3.1636	0.1155	6.1209	0.1155	0.1155	0.1155	0.6203	0.2558	0.1155	1.1224	0.1155	0.1155	0.1155	0.1155	16.0217	0.1155	0.1155	0.6142	0.1155	0.1155	0.1155	0.1155	1.1193	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	8.9418	0.1155	0.1155	31.8046	0.2618	0.8807	0.1155	0.1155	0.1155	0.3329	0.1155	0.1155	3.3045	0.1155	0.1155	0.1155	0.1155	0.5736	0.1155	2.3956	0.1155	0.1155	0.3044	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.1155	0.5776	0.1155	0.1155	4.7271	0.1155
1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	0.6530	0.1835	0.3830	1.3673	3.7940	0.6064	0.1835	5.5374	1.6222	0.1835	1.9355	58.6405	0.1835	4.2248	2.0633	0.4251	1.1423	0.1835	0.5154	1.6453	0.3715	0.1835	0.4709	1.9151	1.7758	0.1835	1.1275	0.1835	0.6117	0.9829	3.3535	0.1835	0.9052	1.8445	0.8008	0.1835	2.3448	0.1835	2.1703	0.1835	1.3407	1.0112	0.7183	1.0431	0.1835	0.5352	0.4119	2.3881	1.2100	0.1835	0.4307	0.1835	0.8862	0.6006	4.4508	0.1835	0.1835	1.9615	0.1835	2.1778	0.2473	0.8582	0.7206	3.4376	0.1835	1.0000	0.1835	1.6966	0.1835	0.2288	0.3208	0.4021	0.3797	13.6210	0.1835	0.3471	0.3040	0.1835	0.4098	0.1835	0.5784	0.1835	0.1835	2.0880	0.1835
1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	0.2639	0.2380	0.2380	0.5095	1.6449	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	1.0000	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	1.4409	0.2380	0.2380	0.5090	0.2380	0.4328	0.2380	1.8224	6.3653	0.2380	0.2380	3.1774	0.2380	0.2380	0.3169	0.2380	0.6376	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	1.1786	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.6159	0.2380	0.2380	0.2380	0.2380	0.6198	0.2380	0.2380	0.2380	1.8364	1.1577	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	0.2380	1.8524	0.2380
1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	0.0564	0.0564	0.0564	0.0564	0.2704	0.0564	12.1063	0.4652	0.1362	0.0564	1.7523	70.5797	0.0564	0.0564	1.4500	0.2288	33.5988	0.1735	0.5407	1.0758	0.0564	0.0564	0.0564	1.6733	0.5320	0.0564	0.5075	0.0564	0.0564	0.0564	4.7217	14.6392	0.0564	0.0564	2.4787	0.0564	0.0798	0.0677	6.6273	0.7708	0.0564	0.0564	0.0564	1.0623	0.0564	0.0564	0.0564	2.2370	0.0564	0.0564	2.1054	0.0564	5.9557	0.0564	0.3548	0.0564	0.0564	0.0905	0.0564	1.3392	0.0564	0.0564	0.0564	0.5664	61.4179	0.0564	0.0564	0.1210	0.0564	0.0564	0.0564	0.0564	0.3633	0.0564	0.0564	0.0564	0.0564	0.0564	0.1367	0.0564	1.0000	0.0564	0.0564	3.5815	0.0564
1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	2.6234	2.2457	0.0086	1.0000	15.6543	0.5905	11.4824	0.5858	4.1380	0.2457	6.0160	5.9695	0.0198	0.2951	2.5751	1.4845	7.1784	0.3619	0.6454	4.4072	0.0086	0.0086	0.3993	0.8114	2.4440	0.1287	1.9589	0.3376	1.2617	0.1728	2.8216	7.4578	0.3110	0.5511	1.4396	0.0606	10.6576	7.2030	4.9941	0.5798	0.0086	0.0890	0.9189	3.6258	7.8734	0.0086	0.0956	8.8597	7.2932	0.7181	1.6653	0.0086	17.6319	2.6450	4.3646	0.0888	0.4085	0.3866	0.0086	4.9043	1.0259	0.0086	0.0304	13.4028	11.7377	0.0086	0.1316	2.7374	0.0086	0.0086	0.2069	0.5112	0.2578	0.8427	0.5872	0.4958	0.0086	0.0086	0.3284	0.1651	1.1272	0.0086	0.0086	5.0414	0.1876
1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	3.4133	2.2657	0.0437	0.1595	18.6233	0.9086	8.9268	0.4054	2.3630	0.4566	6.3097	42.4982	0.0437	1.4342	4.0863	1.7225	2.4443	0.7023	0.7942	4.1762	0.0437	0.0477	0.1790	1.3071	3.3832	0.5680	1.5447	0.2344	2.6485	0.2851	2.0140	3.9923	0.3375	0.3243	1.1889	0.0437	3.7634	6.6550	10.2108	0.5032	0.0437	0.0912	0.4743	2.4846	3.6430	0.0437	0.1786	13.8918	3.4536	0.2239	0.5575	0.0437	17.2520	2.0293	4.6752	0.1607	0.6232	0.6695	0.0437	2.8808	0.8152	0.0437	0.0437	27.8066	23.8748	0.0437	0.1775	2.6670	0.0437	0.0437	0.2179	0.5433	0.2319	0.3049	1.0000	0.7436	0.0437	0.0437	0.6493	0.2406	0.7079	0.0437	0.0437	3.3809	0.3579
1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	0.2362	0.0765	0.0765	0.5389	0.7049	0.0765	7.1417	0.9728	0.1782	0.0765	1.1121	101.1424	0.0765	0.0765	2.7852	0.2714	1.3432	0.6392	0.0765	1.9042	0.0765	0.0765	0.0765	0.9696	0.1249	0.0765	1.0000	0.0765	0.1160	0.0765	1.4895	10.6091	0.0765	0.0765	1.0318	0.0765	2.9030	0.0765	23.9452	1.5599	0.0765	0.0765	0.0765	2.1841	0.8465	0.0765	0.0765	1.3392	0.5444	0.4123	1.3510	0.0765	1.3018	0.1402	0.6426	0.0765	0.0765	0.0765	0.0765	1.4767	0.4867	0.0765	0.0765	1.1729	10.0251	0.0765	0.0765	0.4686	0.0765	0.0765	0.0765	0.1939	0.1185	0.0765	0.0765	0.0765	0.0765	0.0765	0.2320	0.0765	1.5003	0.0765	0.0765	3.9955	0.0765
1-palmitoyl-GPS (16:0)*	Lipid	Lysophospholipid	2.0756	0.7194	0.1065	0.9634	6.7010	0.2459	3.2504	0.9065	1.5341	0.3460	2.5917	16.5838	0.1065	0.1065	7.4296	0.3588	3.8065	0.2727	0.1065	1.6052	0.1065	0.1065	0.1065	2.2907	3.3975	0.1065	0.9384	0.1065	0.7631	0.1065	2.6986	5.4529	0.2595	0.2787	2.9991	0.1065	5.6416	2.8633	5.0580	2.2543	0.1065	0.1065	0.1673	1.0000	1.1088	0.1065	0.1163	4.0446	0.5943	0.6398	0.3567	0.1065	2.5867	2.4081	5.3016	0.1065	0.1065	0.3337	0.1065	3.4394	0.7034	0.1065	0.1065	18.5260	27.3978	0.1065	0.1065	0.6140	0.1065	0.1065	0.1234	0.1250	0.1540	0.4680	0.3484	0.3660	0.1065	0.1065	0.2450	0.1065	2.4327	0.1065	0.1065	4.7750	0.1798
1-pentadecanoylglycerol (15:0)	Lipid	Monoacylglycerol	0.1294	0.1294	0.3238	1.0602	6.6693	0.1294	2.5420	6.1203	2.5031	0.1294	2.0034	7.5984	0.1294	8.8469	3.8569	0.1294	0.4846	0.1294	0.2935	0.9021	0.1294	0.1294	0.2777	0.8882	2.8861	0.1294	1.2844	0.7279	0.4308	0.9398	6.6570	0.1294	0.1294	3.0085	0.7823	0.1294	2.4514	0.1294	0.1294	0.1294	0.1294	1.8894	0.3722	1.0687	0.1294	0.3437	0.1294	3.5241	0.6179	0.1294	0.1294	0.1294	4.5929	0.4315	11.4024	0.1294	0.1294	4.2602	0.2733	2.1456	0.9044	0.1479	0.1294	6.9039	0.1294	0.1815	0.1294	0.2775	0.1294	0.2297	0.1294	0.1294	0.1294	15.1143	0.1294	0.1294	0.7877	0.1294	0.2255	0.1294	0.2010	0.1294	0.1294	2.5787	0.1294
1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	0.0939	0.0939	0.0939	0.0939	0.0939	0.0939	2.8261	0.0939	0.0939	0.0939	1.0008	1.0335	0.0939	0.0939	0.0939	0.0939	2.1889	0.0939	0.0939	0.1099	0.0939	2.7058	0.0939	0.3371	0.0939	0.0939	0.0939	0.0939	0.0939	0.0939	0.1495	0.2059	0.0939	0.0939	0.0939	1.6239	0.0939	0.0939	0.3313	0.0939	0.0939	1.7524	2.5817	2.2946	0.0939	0.0939	0.0939	0.1536	0.0939	0.0939	0.0939	2.9317	0.0939	0.0939	0.0939	0.0939	1.4706	0.0939	0.0939	0.7550	0.0939	0.0939	0.0939	0.0939	3.7171	0.9992	0.4010	0.0939	0.0939	0.0939	0.0939	0.0939	0.8123	0.0939	0.0939	0.0939	0.0939	0.0939	8.2525	0.0939	0.4580	0.0939	0.4983	0.0939	0.0939
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.8327	0.8824	0.1211	1.8864	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.2004	0.1211	0.1211	0.1211	0.1211	3.3855	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.2425	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	2.6560	0.1211	0.1211	9.5130	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	1.3033	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	1.0544	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.1211	0.9456	0.1211
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.4467	1.0000	0.2303	1.4222	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	2.5515	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2361	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	1.8305	0.2303	0.2303	6.3289	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	1.1989	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.6522	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.2303	0.9913	0.2303
1-stearoyl-GPA (18:0)	Lipid	Lysophospholipid	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	82.7743	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	1.1879	0.2289	0.2289	0.9285	0.2289	0.2289	0.2289	1.0000	14.2535	0.2289	0.2289	5.8992	0.2289	0.2289	0.2289	3.1094	0.6639	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.8578	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.6388	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.6625	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	0.2289	2.2510	0.2289
1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	0.4888	0.2881	0.1313	0.1313	0.6946	0.3335	20.8730	2.3866	1.3882	0.1313	5.4885	167.5470	0.1313	0.2277	6.9020	1.1047	42.9064	1.4453	1.1655	5.4204	0.1313	0.3428	0.4723	4.7291	3.9415	0.1313	2.7475	0.5335	0.1313	0.1313	10.8388	42.6976	0.4521	0.5199	7.6781	0.2857	0.1313	1.2402	20.6540	3.7767	0.2544	0.5653	0.1313	3.9895	0.6748	0.1313	0.2953	8.2069	0.1313	0.2140	6.6797	0.1313	10.6745	0.9128	2.2424	0.7124	0.2235	0.8927	0.5361	10.8298	0.2772	0.2932	0.6617	3.8682	167.6344	0.1313	1.9570	1.0000	0.1680	0.3904	0.3623	0.8284	1.2982	0.4038	0.1313	0.8773	0.4589	0.1313	1.6537	0.1313	3.9208	0.1313	0.1313	12.1001	0.4612
1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	0.3178	0.5002	0.0346	0.1459	1.1776	0.1552	1.1627	0.6708	1.1095	0.0346	2.0859	38.8788	0.0346	0.0346	2.1144	1.6872	2.3119	2.7445	0.0346	7.1402	0.0346	0.0346	0.0346	2.7123	2.8516	0.0346	2.8858	0.0932	0.1174	0.1408	1.2157	36.9559	0.2450	0.2109	2.0709	0.2522	2.4509	2.0311	6.1631	1.7531	0.0346	0.0650	0.1750	0.5442	0.4047	0.0346	0.0346	15.1137	1.0000	0.0346	15.4129	0.2621	3.8215	0.2270	2.0965	0.0346	0.3797	0.4336	0.0346	9.4104	0.0956	0.0346	0.0346	2.0803	16.0606	0.0346	0.6319	0.7475	0.0346	0.0346	0.0346	0.4263	0.5489	0.0631	0.2055	0.1129	0.0346	0.0346	0.9388	0.0346	2.4133	0.0346	0.0346	12.6945	0.0346
1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	1.0240	0.6641	0.0874	0.0874	3.2444	0.3805	2.2231	0.3804	1.3226	0.3423	6.5642	21.2230	0.0874	0.3001	1.8825	0.5900	1.4062	0.9194	0.3684	2.0716	0.0874	0.0874	0.0874	1.0395	1.5900	0.0874	2.7666	0.0874	0.3698	0.0874	0.7140	4.4690	0.0874	0.3795	0.9760	0.0874	1.2151	1.3937	6.1402	0.0874	0.0874	0.0874	0.2041	0.8364	2.0965	0.0874	0.1504	4.2924	1.0288	0.0874	0.7244	0.0874	13.0166	1.3192	1.5878	0.0874	0.5083	0.3210	0.0874	2.4175	0.3101	0.0874	0.0874	7.1593	11.6056	0.0874	0.1106	1.0265	0.0874	0.0874	0.2399	0.2329	0.0874	0.0874	0.2958	0.2054	0.0874	0.0874	0.6947	0.0874	0.9577	0.0874	0.0874	2.0693	0.0874
1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	0.2418	0.2928	0.0537	0.4285	0.5018	0.0537	4.0149	5.1376	0.2821	0.0660	1.2169	193.6196	0.0537	0.3156	4.2769	0.7980	0.5718	3.7742	0.0537	2.3386	0.0537	0.0537	0.0537	4.4239	2.9373	0.0537	2.6781	0.3182	0.0537	0.0537	3.8937	25.5864	0.4384	0.1122	2.3302	0.0537	0.1615	0.3959	28.8542	2.6739	0.0537	0.2531	0.2306	2.1527	0.3494	0.0537	0.4516	3.7741	0.0537	0.0537	4.1469	0.0537	1.8153	0.2386	1.3048	0.0537	0.0537	0.2857	0.0537	4.6144	0.0537	0.0537	0.0537	1.8853	18.2714	0.0537	1.0000	1.2891	0.0537	0.0537	0.0537	0.4766	0.3354	0.0837	0.1562	0.1684	0.0537	0.0537	2.4933	0.0537	2.3789	0.0537	0.0537	6.8772	0.1777
